actual_minus_equal_amount,actual_minus_main_bucket,actual_minus_original_hold,actual_trade_pnl_v2,basket_key,bucket_count,buckets,city,equal_amount_basket_same_input_pnl,equal_payout_basket_same_input_pnl,evaluable,liquidity_limit,main_bucket,main_bucket_only_same_input_pnl,non_simultaneous_fill_limit,not_evaluable_reason,original_shares_hold_to_resolution_pnl,settled_yes_bucket_count,total_input_usd,unit,weather_date,weather_metric,winner_buckets
-0.515276271388263,-54.182495543972536,-2.7180529988040014,21.033644,Sao Paulo|2026-02-20|high|C,2,32°C|33°C,Sao Paulo,21.548920271388262,48.331161407614964,True,counterfactual assumes all target shares could be filled at observed weighted average prices,32°C,75.21613954397253,counterfactual ignores that original fills occurred at different times and market states,,23.751696998804,,32.118299001196,C,2026-02-20,high,32°C
,,,,Seoul|2026-02-20|high|C,2,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-20,high,
,,,,Ankara|2026-02-21|high|C,2,,Ankara,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-21,high,
11.55274344301915,-37.07740967094256,0.6878199999999985,17.27902,Buenos Aires|2026-02-21|high|C,3,31°C|32°C|33°C,Buenos Aires,5.726276556980849,9.182807056765167,True,counterfactual assumes all target shares could be filled at observed weighted average prices,31°C,54.35642967094255,counterfactual ignores that original fills occurred at different times and market states,,16.5912,,18.5888,C,2026-02-21,high,31°C
,,,,Chicago|2026-02-21|high|F,2,,Chicago,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,F,2026-02-21,high,
2.0,2.0,2.0,-2.625,New York City|2026-02-21|high|F,2,between 48-49°F|between 50-51°F,New York City,-4.625,-4.625,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 48-49°F,-4.625,counterfactual ignores that original fills occurred at different times and market states,,-4.625,,4.625,F,2026-02-21,high,
,,,,Sao Paulo|2026-02-21|high|C,2,,Sao Paulo,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-21,high,
20.072249,20.072249,20.072249,3.613249,London|2026-02-22|high|C,2,15°C|16°C,London,-16.459,-16.459,True,counterfactual assumes all target shares could be filled at observed weighted average prices,15°C,-16.459,counterfactual ignores that original fills occurred at different times and market states,,-16.459,,16.459,C,2026-02-22,high,
19.84777738095238,-55.37031785714285,-2.513174999999997,33.763125,Miami|2026-02-22|high|F,3,between 88-89°F|between 90-91°F|between 92-93°F,Miami,13.915347619047623,58.07748686868687,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 88-89°F,89.13344285714285,counterfactual ignores that original fills occurred at different times and market states,,36.2763,,23.6937,F,2026-02-22,high,between 88-89°F
104.89524866633396,87.10338200003291,96.29118199948448,88.70465,Sao Paulo|2026-02-22|high|C,3,27°C|28°C|29°C,Sao Paulo,-16.190598666333955,-1.5972698333546305,True,counterfactual assumes all target shares could be filled at observed weighted average prices,27°C,1.6012679999670958,counterfactual ignores that original fills occurred at different times and market states,,-7.586531999484478,,25.086531999484478,C,2026-02-22,high,27°C
,,,,Ankara|2026-02-23|high|C,2,,Ankara,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-23,high,
26.786555939552997,-4.064631242965966,15.961197000392652,17.078573000000002,Ankara|2026-02-24|high|C,4,6°C|7°C|8°C|9°C,Ankara,-9.707982939552995,5.941964342745436,True,counterfactual assumes all target shares could be filled at observed weighted average prices,8°C,21.143204242965968,counterfactual ignores that original fills occurred at different times and market states,,1.1173759996073507,,19.99171200039265,C,2026-02-24,high,8°C
11.886092000000005,-20.326407999999994,9.658592000000006,31.213592000000006,London|2026-02-25|high|C,2,18°C|19°C,London,19.3275,12.885,True,counterfactual assumes all target shares could be filled at observed weighted average prices,19°C,51.54,counterfactual ignores that original fills occurred at different times and market states,,21.555,,12.885,C,2026-02-25,high,19°C
,,,,Seoul|2026-02-25|high|C,3,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,3,,C,2026-02-25,high,
19.102225854974705,-25.251570435075877,-1.1208760000000026,30.113265,Buenos Aires|2026-02-26|high|C,3,29°C|30°C|31°C,Buenos Aires,11.011039145025292,34.816310930069925,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,55.364835435075875,counterfactual ignores that original fills occurred at different times and market states,,31.234141,,11.165859,C,2026-02-26,high,29°C
24.631535750584014,-43.615863498831985,-11.161064999999994,68.897754,Chicago|2026-02-26|high|F,2,between 38-39°F|between 40-41°F,Chicago,44.26621824941599,83.48764053077636,True,counterfactual assumes all target shares could be filled at observed weighted average prices,between 40-41°F,112.51361749883199,counterfactual ignores that original fills occurred at different times and market states,,80.058819,,23.981181,F,2026-02-26,high,between 40-41°F
107.00868321027922,-4.819112144131038,11.544614995082627,6.305594000000001,Buenos Aires|2026-02-27|high|C,4,29°C|30°C|31°C|32°C,Buenos Aires,-100.70308921027922,-32.747269489427,True,counterfactual assumes all target shares could be filled at observed weighted average prices,29°C,11.12470614413104,counterfactual ignores that original fills occurred at different times and market states,,-5.239020995082626,,137.97902099508264,C,2026-02-27,high,29°C
75.43879070275567,-60.816199891009575,-15.278714000361731,64.655565,Buenos Aires|2026-02-28|high|C,3,32°C|33°C|34°C,Buenos Aires,-10.783225702755672,91.99281678006656,True,counterfactual assumes all target shares could be filled at observed weighted average prices,32°C,125.47176489100957,counterfactual ignores that original fills occurred at different times and market states,,79.93427900036173,,78.91072099963827,C,2026-02-28,high,32°C
,,,,Dallas|2026-02-28|high|F,2,,Dallas,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,F,2026-02-28,high,
,,,,Sao Paulo|2026-02-28|high|C,2,,Sao Paulo,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-02-28,high,
30.639884000100828,30.639884000100828,30.639884000100828,-43.318019,Buenos Aires|2026-03-01|high|C,3,33°C|34°C|35°C,Buenos Aires,-73.95790300010083,-73.95790300010083,True,counterfactual assumes all target shares could be filled at observed weighted average prices,33°C,-73.95790300010083,counterfactual ignores that original fills occurred at different times and market states,,-73.95790300010083,,73.95790300010083,C,2026-03-01,high,
,,,,Seoul|2026-03-01|high|C,2,,Seoul,,,False,,,,,requires at least two settled adjacent non-overlapping exact/range YES buckets,,2,,C,2026-03-01,high,
3.258371000000001,3.258371000000001,3.258371000000001,-0.752729,Wellington|2026-03-01|high|C,2,17°C|18°C,Wellington,-4.011100000000001,-4.011100000000001,True,counterfactual assumes all target shares could be filled at observed weighted average prices,18°C,-4.011100000000001,counterfactual ignores that original fills occurred at different times and market states,,-4.011100000000001,,4.011100000000001,C,2026-03-01,high,
